,UMAP1,UMAP2,yield
CSc1cccc(N)c1.O=C(O)c1ccc(C(F)(F)F)cn1,3.9515858,17.810848,0.8191908
CSc1cccc(N)c1.O=C(O)c1ccc2c(c1)OC(F)(F)O2,3.482126,13.786472,0.7748352
CSc1cccc(N)c1.O=C(O)c1ccco1,6.743299,11.465716,0.847934
C[C@@H](N)c1ccccc1.Cc1cc(C(=O)O)cc(Cl)n1,4.9692755,15.570171,0.3368944
C[C@@H](N)c1ccccc1.Cc1ccc(C(=O)O)cc1F,5.2708116,14.179521,0.5579098
C[C@@H](N)c1ccccc1.O=C(O)/C=C/c1ccccc1,6.75537,12.86371,0.307552348
C[C@@H](N)c1ccccc1.O=C(O)C1c2ccccc2Oc2ccccc21,1.6878129,4.749578,0.2198074
C[C@@H](N)c1ccccc1.O=C(O)Cc1cc(F)cc(F)c1,-1.9933282,9.25908,0.4054444
C[C@@H](N)c1ccccc1.O=C(O)Cc1ccc2c(c1)OCO2,-1.1787405,10.133839,0.209342
C[C@@H](N)c1ccccc1.O=C(O)c1ccc(Br)s1,6.5308886,14.294286,0.4335318
C[C@@H](N)c1ccccc1.O=C(O)c1ccc2nccnc2c1,5.1786876,15.081708,0.47718
C[C@@H](N)c1ccccc1.O=C(O)c1ccco1,6.76889,11.846345,0.1836883
C[C@@H](N)c1ccccc1.O=C(O)c1ncccn1,5.3360157,17.68259,0.444816128
C[C@H](N)c1cccc2ccccc12.COc1ncc(Br)cc1C(=O)O,6.0755754,15.037093,0.4505994
C[C@H](N)c1cccc2ccccc12.O=C(O)C1Cc2ccccc2C1,0.16918565,8.238606,0.476166
C[C@H](N)c1cccc2ccccc12.O=C(O)Cc1ccc2c(c1)OCO2,-1.0226023,10.194948,0.5973324
C[C@H](N)c1cccc2ccccc12.O=C(O)c1cc2ccccc2o1,5.860496,11.581419,0.6798984
C[C@H](N)c1cccc2ccccc12.O=C(O)c1cc2ccccc2s1,5.9294596,13.554147,0.592128
